NUM_BANKCARD_QUERIES_LAST_6_MO,S207A,CO06S,TK0901,SCRG063,AT01S,AT20S,RVLR03,BC101S,G980S,BKUTIL,IQT9421,REH5030,CAMPAIGN_ID,CAMPAIGN_SUB_CD,UNDRWRTE_STRAT_IN,CRED_BUREAU_LOC_CD,FICO_SCORE,FICO_FACTOR_1,CRED_SCORE_1,RISK_SCORE_1,RISK_SCORE_1_FACTOR_1,CRED_SCORE_2,RISK_SCORE_2,INMARKET_IN,UNDER18_IN,DECEASED_IN,FROZEN_CREDRPT_IN,BANK_ACCT_CD,EXTEND_FRAUD_ALERT_IN,OLLO_OPEN_ACCT_CT,RECENT_APPL_IN,ATP_MAX_CREDIT_LINE,FAILED_ATP_IN,BUREAU_ERROR_CD,CONSUMER_STMT_TYPE_IN,BUREAU_MSG_CD_LIST,FRAUD_SHIELD_TYPE_LIST,DECISION_CD,CREDIT_LINE_AMT,CASH_LINE_AMT,LTR_TEMPLATE_ID,ADVERSE_ACT_RSN_1,ADVERSE_ACT_RSN_2,ADVERSE_ACT_RSN_3,ADVERSE_ACT_RSN_4,POLICY_RULES_USED,POST_BUR_RND_NUM_1,VANTAGE_SCORE,ALL0100,ALL0300,ALL2356,ALL5020,ALL5030,ALL5045,ALL5301,ALL5830,ALL8164,ALL8220,ALL9210,ALL9220,BCA5020,BCC0416,BCC5030,BCC7140,IQB9416,MTA5830,FIP5020,TU_VANTAGE_3,TU_VANT_3_FACTOR_1,TU_VANT_3_FACTOR_2,TU_VANT_3_FACTOR_3,TU_VANT_3_FACTOR_4,TU_VANT_3_FACTOR_5,TU_STATUS,LN_STATUS,CUST_MOD_3_FIN_SCR,CUST_MOD_3_FIN_SCR_DEC,CUST_MOD_3_TIMEOUT,CUST_MOD_3_ERROR,CUST_MOD_4_FIN_SCR,CUST_MOD_4_FIN_SCR_DEC,CUST_MOD_4_TIMEOUT,CUST_MOD_4_ERROR,CUST_MOD_6_FIN_SCR,CUST_MOD_6_FIN_SCR_DEC,CUST_MOD_6_TIMEOUT,CUST_MOD_6_ERROR,CUST_MOD_7_FIN_SCR,CUST_MOD_7_FIN_SCR_DEC,CUST_MOD_7_TIMEOUT,CUST_MOD_7_ERROR,CUST_MOD_3_FIN_SCR_RANKED_AR,CUST_MOD_6_FIN_SCR_RANKED_AR,SSNAWF3Y,TFRAA6M,TFRAA1Y,TFRANDOB2Y,TFRANDOB3Y,TFRANDOB6M,TFRANDOB1Y,IDFS
1,20,-1,-2,0,23,98,0,322,1,29,0,322,95,5,8,5,657,38,636,8,18,710,6,Y,N,N,N,1,N,0,N,198766,N,,,57,21,A,1100,330,,,,,,A003,715,665,26,19,0,322,322,0,0,20,9996,98,23,23,322,2,322,29,1,999999998,999999996,662,98,14,12,30,2,Y,,6.56489563,4,N,N,4.945614815,3,N,N,0,448,,,3.589578629,448,N,N,2049      2016,,FALSE,0,0,0,0,0,0,554
2,46,-1,3490,1,13,87,5566,5566,0,107,1,4495,23,3,6,5,593,38,595,10,13,639,10,Y,N,N,N,1,N,0,N,55390,N,,,57,21,D,0,0,1002,1018,,,,1018,54,0,13,13,1,100236,100236,66899,0,852,9996,210,49,49,4495,2,4495,86,1,999999998,999999998,519,98,15,32,9,1,Y,,32.60810852,9,N,N,47.1461792,10,N,N,0,448,,,0,448,,,2110      2034      2018      2050,,,,,,,,,0
1,-1,-2,-3,0,36,204,862,1080,2,49,0,1106,95,5,8,5,584,38,543,10,M9,636,10,Y,N,N,N,1,N,0,N,171656,N,,,57,1721,A,300,90,,,,,,A003,776,624,32,19,2,416172,416172,4795,1336,5296,46,178,9999,9999,1032,3,1032,56,1,2662,35299,631,95,12,7,4,8,Y,,24.88409424,8,N,N,25.45513916,8,N,N,0,448,,,9.287360191,448,N,N,2033      2018      2110      2105,,FALSE,0,0,0,0,0,0,556
4,17,-1,-2,0,21,165,0,812,1,81,0,812,95,5,8,5,639,38,673,6,20,703,7,Y,N,N,N,2,N,0,N,60844,N,,,57,21,A,600,180,,,,,,A003,685,682,26,25,0,812,812,0,0,26,9996,405,19,19,812,1,812,81,2,999999998,999999998,670,98,14,12,15,2,Y,,4.628799438,3,N,N,4.017659187,3,N,N,0,448,,,5.774285316,448,N,N,,,FALSE,0,0,0,0,0,0,450
2,16,-2,-3,1,26,383,524,524,0,75,0,524,95,9,4,5,672,38,704,4,18,737,5,Y,N,N,N,1,N,0,N,5877,N,,,57,,A,2000,600,,,,,,A003,112,708,27,25,1,524,524,0,0,27,9996,428,23,23,524,1,524,81,0,999999996,999999998,713,98,15,30,8,2,Y,,1.634075165,1,N,N,2.192051888,1,N,N,0,448,,,0,448,,,,,FALSE,0,0,0,0,0,0,722
1,22,-2,-3,0,12,349,0,391,0,65,0,391,95,9,4,5,641,38,664,6,18,726,5,Y,N,N,N,1,N,0,N,973214,N,,,57,,A,1600,480,,,,,,A003,816,674,10,9,0,391,391,0,0,25,9996,333,23,23,391,1,391,65,1,999999998,999999998,684,98,14,30,8,2,Y,,6.419903755,4,N,N,4.990904808,3,N,N,0,448,,,0,448,,,2016      2049      2012,,FALSE,0,0,0,0,0,0,676
1,-1,-2,488,0,14,193,0,1489,3,99,0,1492,23,1,6,5,613,38,595,10,34,619,10,Y,N,N,N,1,N,0,N,122468,N,,,57,21,D,0,0,1002,2114,2016,2123,2034,1060,573,0,16,12,0,1492,1492,0,0,45,9996,193,9999,9999,1492,1,1492,99,1,999999998,999999998,624,12,7,63,16,8,Y,,16.31393433,7,N,N,13.58566093,6,N,N,0,448,,,0,448,,,2114      2016      2123      2034,,,,,,,,,0
2,-1,-1,-2,0,13,324,6315,13042,0,68,0,13042,23,2,6,5,697,38,707,3,D2,776,2,Y,N,N,N,1,N,0,N,140162,N,,,57,21,A,3000,900,,,,,,A003,746,0,17,16,0,32526,32526,0,0,933,9996,324,83,83,13042,6,13042,68,1,999999998,999999998,687,98,14,34,32,2,Y,,4.446008682,3,N,N,2.949155807,2,N,N,0,448,,,0,448,,,,,FALSE,0,0,0,0,0,0,548
4,7,-1,-2,0,40,175,0,689,0,46,0,1735,23,2,6,5,576,38,575,10,P6,639,10,Y,N,N,N,2,N,0,N,173636,N,,,57,821,D,0,0,1002,38,10,19,13,1028,396,0,42,41,0,1735,1735,0,0,102,9996,175,12,12,1498,1,1498,100,1,999999998,999999998,670,98,14,15,12,2,Y,,25.85154724,9,N,N,26.82885742,9,N,N,0,448,,,0,448,,,2030      2016      2034      2050,,,,,,,,,0
1,-1,-1,-2,0,43,154,1891,19808,4,46,0,33476,23,4,6,5,620,40,737,2,P6,836,1,Y,N,N,N,1,N,0,N,1267857,N,,,57,21,D,0,0,1002,1120,,,,1120,89,0,42,40,0,218571,218571,0,0,2367,9996,154,117,117,20385,15,20385,45,1,1385,999999998,571,98,34,32,85,2,Y,,15.49921989,7,N,N,25.09965515,8,N,N,0,448,,,0,448,,,2050      2036      2053      2120,,,,,,,,,0
1,-1,-2,-3,0,20,321,354,788,2,65,0,1175,23,1,6,5,719,40,644,8,34,714,6,Y,N,N,N,1,N,0,N,33084,N,,,57,921,A,1200,360,,,,,,A003,122,0,16,14,0,243852,243852,0,0,4339,9996,321,9999,9999,354,1,354,51,0,999999997,3355,689,39,55,4,34,9,Y,,9.274084091,5,N,N,3.607621193,2,N,N,0,448,,,0,448,,,2031      2110      2029      2116,,FALSE,0,0,0,0,0,0,770
1,15,-1,-2,0,17,137,555,555,0,69,0,1093,95,5,8,5,641,38,647,8,18,670,9,Y,N,N,N,2,N,0,N,110390,N,,,57,21,A,300,90,,,,,,A003,787,654,15,15,0,1093,1093,0,0,33,9996,137,17,17,999999997,0,999999997,997,0,999999998,999999998,655,98,14,12,15,2,Y,,5.482439041,4,N,N,5.632653236,4,N,N,0,448,,,3.168999672,448,N,N,,,FALSE,0,0,0,0,0,0,430
